CURSO;COD_RUCT;TITULACION;CENTRO;TASA_ABANDONO
2023-24;2500739;GRADO EN ARQUITECTURA TÉCNICA;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;20,540000
2023-24;2500801;GRADO EN CIENCIAS AMBIENTALES;ESCUELA POLITECNICA SUPERIOR DE GANDIA;12,500000
2023-24;2501354;GRADO EN COMUNICACIÓN AUDIOVISUAL;ESCUELA POLITECNICA SUPERIOR DE GANDIA;1,390000
2023-24;2501355;GRADO EN TURISMO;ESCUELA POLITECNICA SUPERIOR DE GANDIA;27,590000
2023-24;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E. POLITÉCNICA SUPERIOR DE ALCOY;16,670000
2023-24;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;6,250000
2023-24;2501484;GRADO EN BELLAS ARTES;FACULTAD DE BELLAS ARTES;6,230000
2023-24;2501485;GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;FACULTAD DE BELLAS ARTES;12,000000
2023-24;2501486;GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;14,770000
2023-24;2501649;GRADO EN BIOTECNOLOGÍA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,190000
2023-24;2501650;GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;15,150000
2023-24;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;E. POLITÉCNICA SUPERIOR DE ALCOY;44,300000
2023-24;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;12,630000
2023-24;2501653;GRADO EN INGENIERÍA AEROESPACIAL;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;4,200000
2023-24;2501654;GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;21,700000
2023-24;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E. POLITÉCNICA SUPERIOR DE ALCOY;42,860000
2023-24;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,640000
2023-24;2501656;GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;5,160000
2023-24;2501657;GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;23,290000
2023-24;2501658;GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL;E.T.S.I. INDUSTRIALES;6,980000
2023-24;2501659;GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES;E.T.S.I. INDUSTRIALES;7,570000
2023-24;2501660;GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;43,940000
2023-24;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;10,960000
2023-24;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;4,960000
2023-24;2501662;GRADO EN INGENIERÍA QUÍMICA;E. POLITÉCNICA SUPERIOR DE ALCOY;25,450000
2023-24;2501662;GRADO EN INGENIERÍA QUÍMICA;E.T.S.I. INDUSTRIALES;13,400000
2023-24;2501663;GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN;ESCUELA POLITECNICA SUPERIOR DE GANDIA;54,900000
2023-24;2502182;GRADO EN INGENIERÍA MECÁNICA;E. POLITÉCNICA SUPERIOR DE ALCOY;15,090000
2023-24;2502182;GRADO EN INGENIERÍA MECÁNICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;3,750000
