CURSO,COD_RUCT,TITULACION,CENTRO,tasa_abandono,año,tasa_permanencia
2020-21,2500739,GRADO EN ARQUITECTURA TÉCNICA,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,36.36,2020,63.64
2020-21,2500801,GRADO EN CIENCIAS AMBIENTALES,ESCUELA POLITECNICA SUPERIOR DE GANDIA,12.5,2020,87.5
2020-21,2501354,GRADO EN COMUNICACIÓN AUDIOVISUAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,4.12,2020,95.88
2020-21,2501355,GRADO EN TURISMO,ESCUELA POLITECNICA SUPERIOR DE GANDIA,12.94,2020,87.06
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E. POLITÉCNICA SUPERIOR DE ALCOY,10.71,2020,89.28999999999999
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E.T.S. DE INGENIERIA DEL DISEÑO,1.42,2020,98.58
2020-21,2501484,GRADO EN BELLAS ARTES,FACULTAD DE BELLAS ARTES,7.55,2020,92.45
2020-21,2501485,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,8.33,2020,91.67
2020-21,2501486,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,23.68,2020,76.32
2020-21,2501649,GRADO EN BIOTECNOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,8.7,2020,91.3
2020-21,2501650,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,6.94,2020,93.06
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E. POLITÉCNICA SUPERIOR DE ALCOY,23.08,2020,76.92
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,10.5,2020,89.5
2020-21,2501653,GRADO EN INGENIERÍA AEROESPACIAL,E.T.S. DE INGENIERIA DEL DISEÑO,10.66,2020,89.34
2020-21,2501654,GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,26.72,2020,73.28
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E. POLITÉCNICA SUPERIOR DE ALCOY,11.54,2020,88.46000000000001
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E.T.S. DE INGENIERIA DEL DISEÑO,15.28,2020,84.72
2020-21,2501656,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA,E.T.S. DE INGENIERIA DEL DISEÑO,4.67,2020,95.33
2020-21,2501657,GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",20.24,2020,79.76
