CURSO,COD_RUCT,TITULACION,CENTRO,año,satisfaccion_alumnos,satisfaccion_profesores,diferencia_satis,satisfaccion_promedio,tasa_abandono,tasa_permanencia,autoeficacia_3_anos,nivel_autoeficacia,porcentaje_no_desempleados,porcentaje_desempleados,nivel_empleabilidad
2020-21,2500739,GRADO EN ARQUITECTURA TÉCNICA,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,2020,6.59,7.84,1.25,7.215,36.36,63.64,5.8,Muy alta,83.64,16.36,Muy buena
2020-21,2500801,GRADO EN CIENCIAS AMBIENTALES,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,7.13,7.9,0.7700000000000005,7.515000000000001,12.5,87.5,4.5,Media,75.0,25.0,Buena
2020-21,2501354,GRADO EN COMUNICACIÓN AUDIOVISUAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,6.25,8.52,2.27,7.385,4.12,95.88,4.0,Media,70.0,30.0,Buena
2020-21,2501355,GRADO EN TURISMO,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,6.43,7.81,1.38,7.119999999999999,12.94,87.06,3.8,Media,72.73,27.27,Buena
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,6.8,8.14,1.3400000000000007,7.470000000000001,10.71,89.28999999999999,5.8,Muy alta,90.48,9.519999999999996,Excelente
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E.T.S. DE INGENIERIA DEL DISEÑO,2020,6.03,7.33,1.2999999999999998,6.68,1.42,98.58,4.9,Alta,87.3,12.700000000000005,Muy buena
2020-21,2501484,GRADO EN BELLAS ARTES,FACULTAD DE BELLAS ARTES,2020,6.74,8.28,1.5399999999999991,7.51,7.55,92.45,3.9,Media,73.12,26.879999999999995,Buena
2020-21,2501485,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,2020,6.58,8.11,1.5299999999999994,7.345,8.33,91.67,2.8,Baja,67.86,32.14,Media
2020-21,2501486,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2020,7.56,8.43,0.8700000000000001,7.994999999999999,23.68,76.32,4.1,Media,81.82,18.180000000000007,Muy buena
2020-21,2501649,GRADO EN BIOTECNOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,5.61,7.65,2.04,6.630000000000001,8.7,91.3,5.5,Alta,100.0,0.0,Excelente
