CURSO,COD_RUCT,TITULACION,CENTRO,satisfaccion_alumnos,satisfaccion_profesores,año,diferencia_satis,satisfaccion_promedio
2020-21,2500739,GRADO EN ARQUITECTURA TÉCNICA,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,6.59,7.84,2020,1.25,7.215
2020-21,2500801,GRADO EN CIENCIAS AMBIENTALES,ESCUELA POLITECNICA SUPERIOR DE GANDIA,7.13,7.9,2020,0.7700000000000005,7.515000000000001
2020-21,2501354,GRADO EN COMUNICACIÓN AUDIOVISUAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,6.25,8.52,2020,2.2699999999999996,7.385
2020-21,2501355,GRADO EN TURISMO,ESCUELA POLITECNICA SUPERIOR DE GANDIA,6.43,7.81,2020,1.38,7.119999999999999
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E. POLITÉCNICA SUPERIOR DE ALCOY,6.8,8.14,2020,1.3400000000000007,7.470000000000001
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E.T.S. DE INGENIERIA DEL DISEÑO,6.03,7.33,2020,1.2999999999999998,6.68
2020-21,2501484,GRADO EN BELLAS ARTES,FACULTAD DE BELLAS ARTES,6.74,8.28,2020,1.5399999999999991,7.51
2020-21,2501485,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,6.58,8.11,2020,1.5299999999999994,7.345
2020-21,2501486,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,7.56,8.43,2020,0.8700000000000001,7.994999999999999
2020-21,2501649,GRADO EN BIOTECNOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.61,7.65,2020,2.04,6.630000000000001
2020-21,2501650,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,6.11,7.89,2020,1.7799999999999994,7.0
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E. POLITÉCNICA SUPERIOR DE ALCOY,6.85,8.51,2020,1.6600000000000001,7.68
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,6.2,8.45,2020,2.249999999999999,7.324999999999999
2020-21,2501653,GRADO EN INGENIERÍA AEROESPACIAL,E.T.S. DE INGENIERIA DEL DISEÑO,5.95,8.24,2020,2.29,7.095000000000001
2020-21,2501654,GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.81,8.17,2020,2.3600000000000003,6.99
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E. POLITÉCNICA SUPERIOR DE ALCOY,6.54,8.44,2020,1.8999999999999995,7.49
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E.T.S. DE INGENIERIA DEL DISEÑO,6.67,8.61,2020,1.9399999999999995,7.64
2020-21,2501656,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA,E.T.S. DE INGENIERIA DEL DISEÑO,6.56,7.91,2020,1.3500000000000005,7.234999999999999
2020-21,2501657,GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",7.71,8.48,2020,0.7700000000000005,8.095
2020-21,2501658,GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL,E.T.S.I. INDUSTRIALES,7.33,8.14,2020,0.8100000000000005,7.735
2020-21,2501659,GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES,E.T.S.I. INDUSTRIALES,5.78,8.46,2020,2.6800000000000006,7.120000000000001
2020-21,2501660,GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.1,8.24,2020,3.1400000000000006,6.67
2020-21,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E. POLITÉCNICA SUPERIOR DE ALCOY,5.56,8.19,2020,2.63,6.875
2020-21,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,5.93,8.22,2020,2.290000000000001,7.075
2020-21,2501662,GRADO EN INGENIERÍA QUÍMICA,E. POLITÉCNICA SUPERIOR DE ALCOY,7.08,7.83,2020,0.75,7.455
2020-21,2501662,GRADO EN INGENIERÍA QUÍMICA,E.T.S.I. INDUSTRIALES,6.11,8.28,2020,2.169999999999999,7.195
2020-21,2501663,"GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN",ESCUELA POLITECNICA SUPERIOR DE GANDIA,6.07,8.5,2020,2.4299999999999997,7.285
2020-21,2502182,GRADO EN INGENIERÍA MECÁNICA,E. POLITÉCNICA SUPERIOR DE ALCOY,6.38,7.19,2020,0.8100000000000005,6.785
