CURSO;COD_RUCT;TITULACION;CENTRO;SATIS_ALU_GESTION_TIT
2022-23;2500739;GRADO EN ARQUITECTURA TÉCNICA;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;7,450000
2022-23;2500801;GRADO EN CIENCIAS AMBIENTALES;ESCUELA POLITECNICA SUPERIOR DE GANDIA;4,560000
2022-23;2501354;GRADO EN COMUNICACIÓN AUDIOVISUAL;ESCUELA POLITECNICA SUPERIOR DE GANDIA;6,400000
2022-23;2501355;GRADO EN TURISMO;ESCUELA POLITECNICA SUPERIOR DE GANDIA;6,850000
2022-23;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E. POLITÉCNICA SUPERIOR DE ALCOY;6,380000
2022-23;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E.T.S. DE INGENIERIA DEL DISEÑO;7,440000
2022-23;2501484;GRADO EN BELLAS ARTES;FACULTAD DE BELLAS ARTES;6,900000
2022-23;2501485;GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;FACULTAD DE BELLAS ARTES;6,560000
2022-23;2501486;GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;7,250000
2022-23;2501649;GRADO EN BIOTECNOLOGÍA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,720000
2022-23;2501650;GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,850000
2022-23;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;E. POLITÉCNICA SUPERIOR DE ALCOY;7,190000
2022-23;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,680000
2022-23;2501653;GRADO EN INGENIERÍA AEROESPACIAL;E.T.S. DE INGENIERIA DEL DISEÑO;7,300000
2022-23;2501654;GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;7,500000
2022-23;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,790000
2022-23;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E.T.S. DE INGENIERIA DEL DISEÑO;7,030000
2022-23;2501656;GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA;E.T.S. DE INGENIERIA DEL DISEÑO;6,800000
2022-23;2501657;GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;7,160000
2022-23;2501658;GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL;E.T.S.I. INDUSTRIALES;7,130000
2022-23;2501659;GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES;E.T.S.I. INDUSTRIALES;6,120000
2022-23;2501660;GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;4,690000
2022-23;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,880000
2022-23;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;7,140000
2022-23;2501662;GRADO EN INGENIERÍA QUÍMICA;E. POLITÉCNICA SUPERIOR DE ALCOY;7,300000
2022-23;2501662;GRADO EN INGENIERÍA QUÍMICA;E.T.S.I. INDUSTRIALES;7,610000
2022-23;2501663;GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,090000
2022-23;2502182;GRADO EN INGENIERÍA MECÁNICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,860000
2022-23;2502182;GRADO EN INGENIERÍA MECÁNICA;E.T.S. DE INGENIERIA DEL DISEÑO;7,460000
2022-23;2502405;GRADO EN INGENIERÍA DE OBRAS PÚBLICAS;E.T.S.I. CAMINOS, CANALES Y PUERTOS;7,140000
2022-23;2502407;GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN;E.T.S.I. DE TELECOMUNICACIÓN;6,580000
2022-23;2502507;GRADO EN INGENIERÍA CIVIL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;7,150000
2022-23;2502660;GRADO EN INGENIERÍA DE LA ENERGÍA;E.T.S.I. INDUSTRIALES;6,330000
2022-23;2502731;GRADO EN INGENIERÍA BIOMÉDICA;E.T.S.I. INDUSTRIALES;6,710000
2022-23;2503025;GRADO EN FUNDAMENTOS DE LA ARQUITECTURA;E.T.S. DE ARQUITECTURA;9,090000
2022-23;2503349;GRADO EN DISEÑO Y TECNOLOGÍAS CREATIVAS;FACULTAD DE BELLAS ARTES;6,120000
2022-23;2503504;GRADO EN TECNOLOGÍAS INTERACTIVAS;ESCUELA POLITECNICA SUPERIOR DE GANDIA;6,590000
2022-23;2503653;GRADO EN CIENCIA DE DATOS;E.T.S. DE INGENIERÍA INFORMÁTICA;7,420000
2022-23;2503930;GRADO EN TECNOLOGÍA DIGITAL Y MULTIMEDIA;E.T.S.I. DE TELECOMUNICACIÓN;5,550000
2022-23;2504265;GRADO EN DISEÑO ARQUITECTÓNICO DE INTERIORES;E.T.S. DE ARQUITECTURA;6,670000
2022-23;2504322;GRADO EN INGENIERÍA FÍSICA;E.T.S.I. DE TELECOMUNICACIÓN;6,720000
2022-23;2504353;GRADO EN MATEMÁTICAS;E.T.S.I. DE TELECOMUNICACIÓN;5,570000
2022-23;2504381;GRADO EN INFORMÁTICA INDUSTRIAL Y ROBÓTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,560000
2022-23;2504381;GRADO EN INFORMÁTICA INDUSTRIAL Y ROBÓTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;6,430000
2022-23;2504505;GRADO EN GESTIÓN DEL TRANSPORTE Y LA LOGÍSTICA;E.T.S.I. CAMINOS, CANALES Y PUERTOS;8,130000
2022-23;4310279;MÁSTER UNIVERSITARIO EN COMPUTACIÓN EN LA NUBE Y DE ALTAS PRESTACIONES / CLOUD AND HIGH-PERFORMANCE COMPUTING;UNIDAD DE MÁSTERES UNIVERSITARIOS;6,250000
2022-23;4310280;MÁSTER UNIVERSITARIO EN EDIFICACIÓN;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;7,310000
2022-23;4310282;MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA;ESCUELA POLITECNICA SUPERIOR DE GANDIA;7,500000
2022-23;4310284;MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,380000
2022-23;4310288;MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO;E.T.S.I. CAMINOS, CANALES Y PUERTOS;7,350000
2022-23;4310468;MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,290000
2022-23;4310569;MÁSTER UNIVERSITARIO EN INGENIERÍA AVANZADA DE PRODUCCIÓN, LOGÍSTICA Y CADENA DE SUMINISTRO;E.T.S.I. INDUSTRIALES;7,880000
2022-23;4310809;MÁSTER UNIVERSITARIO EN ARTES VISUALES Y MULTIMEDIA;UNIDAD DE MÁSTERES UNIVERSITARIOS;5,660000
2022-23;4310813;MÁSTER UNIVERSITARIO EN GESTIÓN DE EMPRESAS, PRODUCTOS Y SERVICIOS;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;8,330000
2022-23;4310814;MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y FISCAL;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,250000
2022-23;4310898;MÁSTER UNIVERSITARIO EN DIRECCIÓN Y GESTIÓN DE PROYECTOS;E.T.S.I. INDUSTRIALES;7,500000
2022-23;4310960;MÁSTER UNIVERSITARIO EN GESTIÓN CULTURAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;6,500000
2022-23;4310963;MÁSTER UNIVERSITARIO EN ARQUITECTURA AVANZADA, PAISAJE, URBANISMO Y DISEÑO;E.T.S. DE ARQUITECTURA;5,500000
2022-23;4310964;MÁSTER UNIVERSITARIO EN AUTOMÁTICA E INFORMÁTICA INDUSTRIAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;5,000000
2022-23;4310965;MÁSTER UNIVERSITARIO EN CIENCIA E INGENIERÍA DE LOS ALIMENTOS;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,110000
2022-23;4310966;MÁSTER UNIVERSITARIO EN CONSERVACIÓN DEL PATRIMONIO ARQUITECTÓNICO;E.T.S. DE ARQUITECTURA;6,790000
2022-23;4310967;MÁSTER UNIVERSITARIO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;UNIDAD DE MÁSTERES UNIVERSITARIOS;5,830000
2022-23;4310968;MÁSTER UNIVERSITARIO EN CONSTRUCCIONES E INSTALACIONES INDUSTRIALES;E.T.S.I. INDUSTRIALES;7,920000
2022-23;4310971;MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS;E.T.S.I. DE TELECOMUNICACIÓN;8,150000
2022-23;4310972;MÁSTER UNIVERSITARIO EN INGENIERÍA Y TECNOLOGÍA DE SISTEMAS SOFTWARE;UNIDAD DE MÁSTERES UNIVERSITARIOS;6,430000
2022-23;4310973;MÁSTER UNIVERSITARIO EN INGENIERÍA DEL DISEÑO;E.T.S. DE INGENIERIA DEL DISEÑO;9,000000
2022-23;4310974;MÁSTER UNIVERSITARIO EN INGENIERÍA DEL HORMIGÓN;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,420000
2022-23;4310975;MÁSTER UNIVERSITARIO EN INGENIERÍA DEL MANTENIMIENTO;E.T.S. DE INGENIERIA DEL DISEÑO;9,100000
2022-23;4310976;MÁSTER UNIVERSITARIO EN PLANIFICACIÓN Y GESTIÓN EN INGENIERÍA CIVIL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;7,190000
2022-23;4310977;MÁSTER UNIVERSITARIO EN INGENIERÍA HIDRÁULICA Y MEDIO AMBIENTE;UNIDAD DE MÁSTERES UNIVERSITARIOS;7,500000
2022-23;4310978;MÁSTER UNIVERSITARIO EN INGENIERÍA MECÁNICA;UNIDAD DE MÁSTERES UNIVERSITARIOS;6,880000
